
PPG;파푸아뉴기니
OLD;올덴부르크
SAX;작센
SCH;슐레스비히;
SGF;남독일 연방
WEI;작센-바이마르
WUR;뷔르템베르크

LOM;롬바르디아
LUC;루카
MOD;모데나
PAP;교황령
PAR;파르마
SAR;사르데냐-피에몬테
SIC;양 시칠리아
TRE;트리에스테
TUS;토스카나
VEN;베네치아

BOH;보헤미아-모라비아
KRA;크라쿠프 자유시
CRI;크림
EST;에스토니아
HUN;헝가리
LIT;리투아니아
LAT;라트비아
POL;폴란드
SLV;슬로바키아
SWI;스위스
RUT;루테니아
SIE;트란실바니아
UKR;우크라이나
CZH;체코슬로바키아

ALB;알바니아
BOS;보스니아-헤르체코비나
BUL;불가리아
CRE;크레타
CRO;크로아티아
CYP;키프로스
GRE;그리스
ION;이오니아 제도
MOL;몰다비아
MON;몬테네그로
ROM;루마니아
SER;세르비아
SLO;슬로베니아
TUR;오스만 제국
WAL;왈라키아
YUG;유고슬라비아

ALD;알제리
CNG;콩고 자유주
EGY;이집트
ETH;에티오피아
MAD;마다가스카르
LIB;라이베리아
MOR;모로코
NAL;나탈리아
ORA;오라녜
SAF;남아프리카 공화국
SOK;소코토
RHO;남로데지아
TRI;트리폴리
TRN;트란스발
TUN;튀니지
ZAN;잔지바르
ZUL;줄루

ABU;아부 다비
AFG;아프가니스탄
ARM;아르메니아
AZB;아제르바이잔
BUK;부하라
GEO;조지아
HDJ;헤자즈
IRQ;이라크
KHI;히바
KOK;코칸트
MUG;모굴리스탄
NEJ;네지드
OMA;오만
PER;페르시아
YEM;예멘

HND;인도
AWA;아바드
BAS;바스타
BER;바도다라
BHO;보팔
BIK;비카네르
BUN;분델칸드
GWA;괄리오르
HYD;하이데라바드
IND;인도르
JAI;자이푸르
JAS;자이살메르
JOD;조드푸르
KAL;칼라트
KAS;카슈미르
KUT;쿠치
LAD;라다크
MAK;마크란
MEW;메와르
MYS;마이소르
NAG;나그푸르
NEP;네팔
ORI;오디샤
PNJ;펀자브
SHI;심라
SIK;시킴
SIN;신드
TRA;트라방코르

ATJ;아체
BAL;발리
BHU;부탄
BRU;브루나이
BUR;버마
CAM;캄보디아
CHI;중국
DAI;다이비엣
JAV;자바
KOR;한국
LUA;루앙프라방
JOH;조호르
SIA;시암
TIB;티베트
MGL;몽골
WIA;위앙찬
PHL;필리핀
MCK;만주국
GXI;광시 군벌
SXI;산시 군벌
YNN;윈난 군발
XBI;시베이 군벌
XIN;신장 군벌

CAL;캘리포니아 공화국
CAN;캐나다
CHE;체로키
COL;콜럼비아
COS;코스타리카
CSA;아메리카 연합국
CUB;쿠바
DES;데저릿 주
DOM;도미니카 공화국
ELS;엘살바도르
GUA;과테말라
HAI;아이티
HAW;하와이
MEX;멕시코
MTC;메티스 연합
HON;온두라스
NEN;뉴잉글랜드
NEW;뉴펀들랜드
NIC;니카라과
PNM;파나마
QUE;퀘벡
TEX;텍사스
UCA;중앙 아메리카 합중국

ARG;아르헨티나
BOL;볼리비아
BRZ;브라질
CHL;칠레
CLM;콜롬비아
ECU;에콰도르
PEU;페루
PRG;파라과이
URU;우루과이
VNZ;베네수엘라

AST;오스트레일리아
NZL;뉴질랜드

ENG;대영제국
RUS;러시아
FRA;프랑스
PRU;프러시아
GER;독일
AUS;오스트리아
USA;미국
JAP;일본
ITA;이탈리아
KUK;오스트리아-헝가리

ISR;이스라엘
ICL;아이슬란드

IBR;이베리아
BYZ;비잔티움
BAB;바빌로니아

TPG;태평천국

EIC;동인도 회사

TOT;Total
